Title,confirm,Address,phone,Price,dish,special_diet,rating,review
Quán BBQ Ủn Ỉn, Đã được xác nhận,"379 Trần Hưng Đạo, An Hải Tây, Sơn Trà, Đà Nẵng Việt Nam",+84 511 6545 357,53.789 ₫ - 215.154 ₫,"Kiểu Mỹ, Kiểu Tây nam, Đồ nướng, Kiểu Á, Quầy bar","Bữa trưa, Bữa tối, Bữa nửa buổi","4,0 ",263 đánh giá
Torino Restaurant and Bakery, Đã được xác nhận,"162-164 Châu Thị Vĩnh Tế Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 93 204 62 96,69.767 ₫ - 465.116 ₫,"Kiểu Ý, Pizza, Kiểu Âu, Rome, Lazio, Miền Trung nước Ý, Kiểu Địa Trung Hải","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",79 đánh giá
DOM - The Wine Bistro, Đã được xác nhận,"03 Phan Bội Châu Phường Thạch Thang, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 90 116 73 37,55.000 ₫ - 270.000 ₫,"Kiểu Âu, Quầy rượu vang, Quán rượu đặc sản","Tùy chọn đồ ăn không có gluten, Tùy chọn ăn chay","4,5 ",103 đánh giá
Quán Chay Ngọc Chi, Đã được xác nhận,"202 Hoàng Diệu Hải Châu, Đà Nẵng 550000 Việt Nam",+84 93 508 50 88,"Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa nửa buổi, Bữa sáng, Đồ uống","4,5 ",173 đánh giá
Burger Republic, Đã được xác nhận,"33 Hoàng Văn Thụ Phường Phước Ninh, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 122 556 6387,45.000 ₫ - 180.000 ₫,"Kiểu Pháp, Quốc tế, Kiểu Á, Kiểu Việt, Đồ ăn nhanh, Kiểu Mỹ",Phù hợp với người ăn chay,"4,5 ",75 đánh giá
Lighthouse American Cafe, Đã được xác nhận,"145 Trần Hưng Đạo Nại Hiên Đông, Đà Nẵng 550000 Việt Nam",+84 236 3917 770,40.000 ₫ - 150.000 ₫,"Tốt cho sức khỏe, Kiểu Mỹ, Kiểu Việt","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",46 đánh giá
ROM Vegetarian Restaurant, Đã được xác nhận,"87 Hoàng Văn Thụ Hải Châu, Đà Nẵng 550000 Việt Nam",+84 97 878 24 56,50.000 ₫ - 200.000 ₫,"Quốc tế, Cửa hàng thức ăn ngon","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",62 đánh giá
Lotus Wine & Dine Restaurant, Đã được xác nhận,"120A Nguyễn Văn Thoại, Đà Nẵng 550000 Việt Nam",+84 236 6261 999,150.000 ₫ - 350.000 ₫,"Kiểu Âu, Kiểu Á, Kiểu Việt, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",56 đánh giá
Thực Dưỡng Bảo AN, Đã được xác nhận,"56 Hoàng Bích Sơn, Đà Nẵng Việt Nam",+84 90 295 72 56,"Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối","4,5 ",91 đánh giá
Holy Pig, Đã được xác nhận,"Trường Sa Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 591 68 11,60.000 ₫ - 800.000 ₫,"Kiểu Mỹ, Quầy bar, Đồ nướng, Kiểu Á",Tùy chọn ăn chay,"4,5 ",169 đánh giá
Nha Hang MUD, Đã được xác nhận,"N22 An Thượng 34 Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 98 858 99 08,2 ₫ - 189.000 ₫,"Kiểu Pháp, Kiểu Mỹ, Món kết hợp, Kiểu Việt, Kiểu Á, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",64 đánh giá
The Tropical - Food & Drink, Đã được xác nhận,"04 Mỹ Đa Đông 12 Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 55000 Việt Nam",+84 93 734 44 56,116.279 ₫ - 232.558 ₫,"Kiểu Việt, Kiểu Bữa tối, Quán bar phục vụ đồ ăn, Đồ nướng, Thịt nướng","Bữa tối, Bữa trưa, Đêm muộn, Đồ uống","5,0 ",29 đánh giá
Hang's Kitchen, Đã được xác nhận,"90 Châu Thị Vĩnh Tế, Đà Nẵng 000052 Việt Nam",+84 90 644 84 21,3 ₫ - 9 ₫,"Kiểu Mexico, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",170 đánh giá
Com Ga A.Hai, Chưa được xác nhận,"100 Thai Phien St., Hai Chau Dist., Đà Nẵng Việt Nam",+84 90 531 26 42,"Kiểu Việt, Kiểu Á","Bữa trưa, Bữa tối, Bữa nửa buổi","Cửa hàng bán thức ăn mang về, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn","4,0 ",172 đánh giá
Quán Mỳ Quảng 24/7, Chưa được xác nhận,"163 Hồ Nghinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 511 3550 247,40.000 ₫ - 45.000 ₫,"Kiểu Việt, Kiểu Á","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","4,0 ",209 đánh giá
Kenta Quan, Đã được xác nhận,"39 An Thượng 3 Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 934 53 95,"Kiểu Việt, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","4,5 ",78 đánh giá
Xiên Nướng Banjiro, Đã được xác nhận,"23 Nguyễn Chí Thanh, Đà Nẵng 550000 Việt Nam",+84 236 3849 880,5 ₫ - 25 ₫,"Kiểu Nhật, Sushi, Kiểu Á",Phù hợp với người ăn chay,"4,5 ",167 đánh giá
Nhà Hàng Bushido, Đã được xác nhận,"90, Đường 2/9 Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3887 757,5 ₫ - 30 ₫,"Kiểu Nhật, Đồ nướng, Sushi, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",116 đánh giá
Pavo Cuisine & Mixology, Đã được xác nhận,"11 Đ. Trần Phú, Thạch Thang, Hải Châu, Đà Nẵng, Đà Nẵng 550000 Việt Nam",+84 93 891 75 55,46.512 ₫ - 930.233 ₫,"Quầy bar, Quán rượu, Quán bar phục vụ đồ ăn, Kiểu Nhật, Quầy rượu vang","Bữa tối, Đêm muộn, Đồ uống","5,0 ",27 đánh giá
Green House Restaurant, Đã được xác nhận,"05 Trường Sa Hyatt Regency Danang Resort and Spa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3981 234,"Kiểu Ý, Quốc tế, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","Bữa trưa, Bữa tối, Bữa sáng, Đêm muộn, Đồ uống","4,5 ",95 đánh giá
Hải Sản Biển Rạng, Đã được xác nhận,"4 Hoàng Sa Thọ Quang, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 37 322 2211,69.767 ₫ - 2.325.581 ₫,"Hải sản, Kiểu Á, Kiểu Việt, Cửa hàng thức ăn ngon","Bữa trưa, Bữa tối, Đồ uống","4,0 ",754 đánh giá
The Temptation Restaurant, Đã được xác nhận,"125 Hồ Nghinh An Hải Bắc, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 91 692 25 52,14 ₫ - 120 ₫,Kiểu Pháp,"Bữa trưa, Bữa tối, Đồ uống","4,5 ",88 đánh giá
Cork and Bottle - Wine Bar & Retail, Đã được xác nhận,"33 Bis Phố Morrison Quận Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 549 74 92,Quầy rượu vang,"Phù hợp với người ăn chay, Tùy chọn ăn chay","Đêm muộn, Đồ uống","5,0 ",57 đánh giá
Babylon Steak Garden, Đã được xác nhận,"422 Võ Nguyên Giáp, Ngũ Hành Sơn Babylon #2: 18 Phạm Văn Đồng, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 94 222 95 66,93.023 ₫ - 581.395 ₫,"Nhà hàng bít tết, Đồ nướng","Bữa trưa, Bữa tối, Bữa nửa buổi","4,0 ",335 đánh giá
Mi Quang 1A, Chưa được xác nhận,"1A Hai Phong Hai Chau Dist, Đà Nẵng Việt Nam",+84 511 3827 936,"Kiểu Việt, Kiểu Á","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn","4,0 ",144 đánh giá
Nhà Hàng Nón Lá, Đã được xác nhận,"254 Hồ Nghinh Phước Mỹ, Đà Nẵng 550000 Việt Nam",+84 96 216 25 97,30.000 ₫ - 200.000 ₫,"Đồ nướng, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",97 đánh giá
Butcher Shop Plus, Đã được xác nhận,"64 Lê Quang Đạo Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 35 520 5255,46.512 ₫ - 930.233 ₫,"Kiểu Việt, Kiểu Ý, Nhà hàng bít tết, Cà phê, Kiểu Âu, Món kết hợp","Bữa tối, Bữa trưa, Đồ uống","5,0 ",39 đánh giá
Brilliant Seafood Restaurant, Đã được xác nhận,"178 Hồ Nghinh An Hải Bắc, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 88 687 81 78,200.000 ₫ - 2.000.000 ₫,"Kiểu Trung Quốc, Hải sản, Kiểu Việt, Kiểu Á, Tốt cho sức khỏe",Phù hợp với người ăn chay,"4,5 ",62 đánh giá
Nhà Hàng FA Lounge, Chưa được xác nhận,"18 Võ Văn Kiệt, Sơn Trà, Đà Nẵng Việt Nam",+84 236 3966 996,"Hải sản, Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa trưa, Bữa tối","4,5 ",69 đánh giá
Trà House & Bistro, Đã được xác nhận,"210 Võ Nguyên Giáp Chicland Hotel, Phước Mỹ, Đà Nẵng 550000 Việt Nam",+84 868 599 286,116.279 ₫ - 2.325.581 ₫,"Kiểu Mỹ, Cà phê, Kiểu Âu","Bữa sáng, Bữa trưa","5,0 ",34 đánh giá
Bún Chả Cá, Chưa được xác nhận,"109 Nguyễn Chí Thanh, Đà Nẵng 550000 Việt Nam",+84 94 571 31 71,"Kiểu Á, Kiểu Việt, Súp","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi","Cửa hàng bán thức ăn mang về, Chỗ ngồi","4,5 ",93 đánh giá
Bamboo 2 Bar, Chưa được xác nhận,"216 Bach Dang st, Đà Nẵng 550000 Việt Nam",+84 90 554 47 69,"Quầy bar, Quán rượu",Phù hợp với người ăn chay,"Bữa trưa, Bữa tối, Đêm muộn, Đồ uống","4,0 ",262 đánh giá
Hải Sản Phố, Đã được xác nhận,"51 Võ Nguyên Giáp Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 94 594 32 32,348.837 ₫ - 1.046.512 ₫,"Hải sản, Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt",Tùy chọn đồ ăn không có gluten,"4,0 ",146 đánh giá
Tandoori~Nights, Đã được xác nhận,"12, An Thuong 5 Ngu Hanh Son Dist, Đà Nẵng 550000 Việt Nam",+84 98 895 25 50,46.512 ₫ - 232.558 ₫,"Kiểu Ấn Độ, Kiểu Á, Kiểu Pakistan","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Thịt kiểu Hồi giáo","4,5 ",82 đánh giá
Quán cà phê Pendulum Coffee House, Đã được xác nhận,"48 Lê Đình Dương, Đà Nẵng 550000 Việt Nam",+84 169 266 1503,10.000 ₫ - 50.000 ₫,"Cà phê, Kiểu Việt",Tùy chọn ăn chay,"5,0 ",45 đánh giá
Nhà hàng Azure Beach Lounge, Đã được xác nhận,"Võ Nguyên Giáp, Q. Ngũ Hành Sơn, Đà Nẵng 055000 Việt Nam",+84 236 3958 888,186.047 ₫ - 465.116 ₫,"Hải sản, Kiểu Á","Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","4,5 ",83 đánh giá
La Rive Gauche, Đã được xác nhận,"Lot A1, Green Island, Hoa Cuong Bac,Hai Chau District Lô A1 Khu Đảo xanh, Hòa Cường Bắc, Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3797 777,"Kiểu Á, Hải sản, Quốc tế, Đồ nướng, Kiểu Việt",Phù hợp với người ăn chay,"Bữa sáng, Bữa trưa, Bữa tối, Đồ uống","5,0 ",41 đánh giá
Hải sản Năm Đảnh, Đã được xác nhận,"139/59/38/10 Trần Quang Khải Thọ Quang, Đà Nẵng Việt Nam",+84 90 353 87 78,116.279 ₫ - 2.325.581 ₫,"Hải sản, Kiểu Việt, Kiểu Á","Bữa trưa, Bữa tối, Đồ uống","4,5 ",62 đánh giá
Quán Ăn Ấn Độ - Family Indian Restaurant 2, Đã được xác nhận,"K231/39 Nguyễn Công Trứ, Quận Sơn Trà,, Đà Nẵng 550000 Việt Nam",+84 90 196 29 29,5 ₫ - 15 ₫,"Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo","Bữa trưa, Bữa tối, Bữa nửa buổi","4,5 ",79 đánh giá
Hanh & Ken - Authentic Vietnamese Cuisine, Đã được xác nhận,"36 An Thuong 5 Bắc Mỹ An, Đà Nẵng 55000 Việt Nam",+84 342 308 554,20.000 ₫ - 120.000 ₫,Kiểu Việt,"Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","5,0 ",33 đánh giá
MAMA HOT POT Buffet - Võ Văn Kiệt, Đã được xác nhận,"Lô A2-1 Võ Văn Kiệt P. An Hải Đông, Q, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 77 700 0580,100.000 ₫ - 1.000.000 ₫,Hải sản,"Bữa trưa, Bữa tối","5,0 ",35 đánh giá
Don Cipriani's, Đã được xác nhận,"Vo Nguyen Giap Street, Khue My Ward, Ngu Hanh Son District Vo Nguyen Giap Street, Ngu Hanh Son District, Đà Nẵng 59000 Việt Nam",+84 511 6519 999,232.558 ₫ - 930.233 ₫,"Kiểu Ý, Kiểu Âu, Pizza","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,0 ",139 đánh giá
SUSHI-Bê, Đã được xác nhận,"38 Nguyễn Chí Thanh Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3987 990,232.558 ₫ - 4.651.163 ₫,"Kiểu Nhật, Sushi, Kiểu Á","Bữa tối, Đồ uống","4,5 ",96 đánh giá
Nhà Hàng Beach House, Đã được xác nhận,"Đường Trường Sa, P. Hòa Hải, Q. Ngũ Ngành Sơn Khu nghỉ dưỡng Hyatt Resort Đà Nẵng, Đà Nẵng 59000 Việt Nam",+84 236 3981 234,"Kiểu Á, Hải sản, Thịt nướng, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa tối, Bữa trưa, Đêm muộn","4,5 ",91 đánh giá
Al Fresco 's - Da Nang, Đã được xác nhận,"210 Trần Phú Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3566 866,116.279 ₫ - 232.558 ₫,"Kiểu Ý, Pizza, Thịt nướng","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,0 ",258 đánh giá
La Maison Deli, Đã được xác nhận,"Lô A1, A2, A3, Đường 2 Tháng 9 Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3775 776,50.000 ₫ - 500.000 ₫,"Cà phê, Kiểu Việt, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",101 đánh giá
Aroma Italian Oven Da Nang, Đã được xác nhận,"86 Đường Trần Phú, Phường Hải Châu 1, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 93 194 90 42,70.000 ₫ - 250.000 ₫,"Pizza, Kiểu Ý, Kiểu Âu, Naples, Campania, Miền Nam nước Ý","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",71 đánh giá
Bạn Bánh Restaurant, Đã được xác nhận,"156 Bạch Đằng, Đà Nẵng 550000 Việt Nam",+84 90 645 66 59,39.000 ₫ - 79.000 ₫,"Cà phê, Cửa hàng thức ăn ngon, Thức ăn đường phố, Kiểu Á, Kiểu Việt","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",32 đánh giá
Phở Container, Chưa được xác nhận,"52 Dương Đình Nghệ Sơn Trà, Đà Nẵng Việt Nam",+84 120 808 4545,20.000 ₫ - 50.000 ₫,"Kiểu Việt, Kiểu Á, Súp",Phù hợp với người ăn chay,"4,5 ",68 đánh giá
Poomba's Smokehouse Danang, Đã được xác nhận,"K40 Tran Van Du, Đà Nẵng Việt Nam",+(84)764071521,46.512 ₫ - 1.162.791 ₫,"Kiểu Mỹ, Đồ nướng, Kiểu Canada, Nhà hàng bít tết, Hải sản","Bữa tối, Bữa trưa, Đồ uống","5,0 ",23 đánh giá
Phở 29, Đã được xác nhận,"39 Trần Quốc Toản Phường Phước Ninh, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 90 613 79 68,69.767 ₫ - 186.047 ₫,"Kiểu Việt, Kiểu Á, Súp","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","4,0 ",118 đánh giá
Nhà hàng Epice, Đã được xác nhận,"Võ Nguyên Giáp, Q. Ngũ Hành Sơn Khu nghỉ dưỡng biển Pullman Đà Nẵng, Đà Nẵng 59000 Việt Nam",+84 236 3958 888,10 ₫ - 50 ₫,"Kiểu Á, Kiểu Âu",Tùy chọn đồ ăn không có gluten,"4,5 ",87 đánh giá
Zen Rooftop Lounge, Đã được xác nhận,"Vo Nguyen Giap Street, Man Thai Ward, Son Tra District Fusion Suites Danang Beach, Đà Nẵng 59000 Việt Nam",+84 511 3919 777,"Kiểu Á, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa tối, Bữa trưa","4,5 ",74 đánh giá
Ans Vegetarian Cuisine - Đặc sản chay Đà Nẵng, Đã được xác nhận,"169F Trưng Nữ Vương Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 126 366 9995,"Kiểu Việt, Kiểu Á, Quốc tế, Cửa hàng thức ăn ngon, Món kết hợp, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa trưa, Bữa tối, Đồ uống, Bữa sáng","4,5 ",47 đánh giá
Nhà Hàng Prosecco Việt Nam, Đã được xác nhận,"250 Trần Phú, Quận Hải Châu 250 Tran Phu st, Hai Chau District, Da Nang City, Đà Nẵng 550000 Việt Nam",+84 93 602 82 15,46.512 ₫ - 465.116 ₫,"Kiểu Ý, Kiểu Địa Trung Hải, Pizza, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",73 đánh giá
Ẩm Thực Xèo, Đã được xác nhận,"A19 Võ Văn Kiệt, Đà Nẵng 550000 Việt Nam",+84 1900 0375,906.976.768 ₫ - 2.147.483.647 ₫,"Kiểu Việt, Tốt cho sức khỏe","Bữa trưa, Bữa tối","5,0 ",32 đánh giá
Laluna Bar & Restaurant, Đã được xác nhận,"187 Huyền Trân Công Chúa Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 578 73 37,"Kiểu Việt, Kiểu Á",Phù hợp với người ăn chay,"Bữa tối, Bữa trưa, Bữa nửa buổi","4,0 ",262 đánh giá
Karma Waters Danang, Đã được xác nhận,"14 An Cư 4, Đà Nẵng 550000 Việt Nam",+84 91 596 17 50,46.512 ₫ - 232.558 ₫,"Kiểu Á, Kiểu Việt, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","4,5 ",80 đánh giá
Sadec 6, Đã được xác nhận,"68 Đặng Vũ Hỷ Phước Mỹ, Đà Nẵng 550000 Việt Nam",+84 94 149 68 66,100.000 ₫ - 500.000 ₫,"Kiểu Á, Kiểu Việt","Bữa trưa, Bữa tối, Bữa sáng","5,0 ",27 đánh giá
Nuong Da Thanh, Đã được xác nhận,"105-107 Nguyen Van Linh, Đà Nẵng Việt Nam",+84 511 3584 858,46.512 ₫ - 116.279 ₫,"Đồ nướng, Kiểu Á, Kiểu Việt",Bữa trưa,"4,5 ",128 đánh giá
On Fleek Coffee, Đã được xác nhận,"10 Nguyễn Cao Luyện, Đà Nẵng 550000 Việt Nam",+84 90 588 61 01,"Cà phê, Kiểu Á, Kiểu Việt","Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten, Tùy chọn ăn chay","Bữa sáng, Bữa trưa, Bữa nửa buổi","4,5 ",117 đánh giá
Quán Huế Ngon, Đã được xác nhận,"Lô H1 - 2&3 Phạm Văn Đồng, Quận Sơn Trà Cách cầu sông hàn 1km theo hướng đi xuống Biển PVD. Bên tay trái sát KS HADANA, Đà Nẵng 550000 Việt Nam",+84 90 198 88 98,39.000 ₫ - 69.000 ₫,"Hải sản, Đồ nướng, Kiểu Á, Kiểu Việt","Bữa trưa, Bữa tối","4,0 ",122 đánh giá
Irini Cafe, Đã được xác nhận,"36 Trần Văn Thành Khuê Mỹ, Đà Nẵng 550000 Việt Nam",+84 93 574 41 24,46.512 ₫ - 139.535 ₫,"Kiểu Địa Trung Hải, Kiểu Hy Lạp, Cà phê, Kiểu Bữa tối, Thức ăn đường phố","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",45 đánh giá
Eurostar, Đã được xác nhận,"Lô 13 Phạm Văn Đồng Quận Sơn Trà, Đà Nẵng 590000 Việt Nam",+84 93 415 60 46,25.000 ₫ - 200.000 ₫,"Kiểu Âu, Kiểu Á, Pizza","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",84 đánh giá
Phở Thư - Since 2012, Đã được xác nhận,"42 Đỗ Bá, Đà Nẵng 550000 Việt Nam",+84 236 3561 668,38.000 ₫ - 105.000 ₫,"Kiểu Việt, Kiểu Á, Súp","Bữa tối, Bữa trưa","5,0 ",28 đánh giá
Quán Cà Phê & Ăn Sáng Mini, Chưa được xác nhận,"32 An Thượng 11 Street, Đà Nẵng Việt Nam",+84 98 310 54 94,Cà phê,"Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa sáng, Bữa nửa buổi, Bữa trưa","4,5 ",45 đánh giá
FUNE SUSHI Ẩm Thực Nhật Bản, Đã được xác nhận,"06 An Thượng 6, My An, Đà Nẵng 550000 Việt Nam",+84 94 788 94 68,"Kiểu Nhật, Hải sản, Sushi","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","4,5 ",52 đánh giá
Quán Burger Bro's NCT, Đã được xác nhận,"4 Nguyễn Chí Thanh, Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 93 192 12 31,70.000 ₫ - 160.000 ₫,"Kiểu Mỹ, Cà phê, Đồ ăn nhanh","Bữa trưa, Bữa tối","4,5 ",45 đánh giá
Indian Curry - Authentic Indian Restaurant, Đã được xác nhận,"09 An Trung Đông 1 Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 70 7311 084,200.000 ₫ - 500.000 ₫,"Kiểu Ấn Độ, Kiểu Á, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",29 đánh giá
Section 30, Đã được xác nhận,"An Thượng 30 Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 301 70 01,"Quầy bar, Cà phê, Quán rượu, Quầy rượu vang, Quán bar phục vụ đồ ăn","Bữa sáng, Bữa trưa, Bữa tối","Dịch vụ bàn, Đặt chỗ, Chỗ ngồi","5,0 ",23 đánh giá
Phở Bắc 63, Đã được xác nhận,"203 Đống Đa, Thạch Thang, Đà Nẵng Việt Nam",+84 236 3834 085,46.512 ₫ - 69.767 ₫,"Kiểu Việt, Kiểu Á, Súp","Bữa trưa, Bữa nửa buổi, Bữa sáng, Bữa tối, Đêm muộn","4,5 ",43 đánh giá
LA NONNA - Taste of Italy, Đã được xác nhận,"39 An Thượng 5 Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 893 38 19,"Kiểu Ý, Quốc tế, Kiểu Âu","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",30 đánh giá
Pokeman - Da Nang Poke Bowls, Đã được xác nhận,"80 Tô Hiến Thành, Đà Nẵng 550000 Việt Nam",+84 89 818 94 55,29.000 ₫ - 149.000 ₫,"Kiểu Nhật, Kiểu Mỹ","Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","5,0 ",22 đánh giá
Mexican Choice, Chưa được xác nhận,"40A Nguyễn Thiện Kế Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 865457964,"Kiểu Mexico, Kiểu La tinh, Kiểu Tây Ban Nha",Phù hợp với người ăn chay,Bữa tối,"5,0 ",23 đánh giá
Masala Tandoor Indian Restaurant, Đã được xác nhận,"05 Lê Quang Đạo, Đà Nẵng 550000 Việt Nam",+84 56 5077 203,2.325.581 ₫ - 5.813.953 ₫,"Cajun & Creole, Kiểu Á, Kiểu Tây Tạng, Catalonia, Quán bán trái cây giải khát","Tùy chọn ăn chay, Phù hợp với người ăn chay, Thịt kiểu Hồi giáo","4,5 ",32 đánh giá
Tê Bar, Đã được xác nhận,"Tầng 3, 39-41 Nguyễn Thái Học, Đà Nẵng 550000 Việt Nam",+84 78 833 4343,65 ₫ - 200 ₫,"Quầy bar, Quầy rượu vang","Bữa tối, Đêm muộn, Đồ uống","5,0 ",21 đánh giá
RuNam Bistro, Đã được xác nhận,"22-24 Bạch Đằng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng Việt Nam",+84 236 3550 788,139.535 ₫ - 465.116 ₫,"Kiểu Á, Món kết hợp, Kiểu Việt, Cà phê",Phù hợp với người ăn chay,"4,0 ",104 đánh giá
F29 Sky Bar Restaurant, Đã được xác nhận,"Lô 01-A1 Lê Văn Duyệt Tầng 29, Nại Hiên Đông, Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 236 3223 777,"Kiểu Pháp, Kiểu Âu","Bữa tối, Đồ uống","Đặt chỗ, Chỗ ngồi, Chấp nhận thẻ tín dụng, Dịch vụ bàn","5,0 ",26 đánh giá
The Authentic Hoian Restaurant & Cafe, Đã được xác nhận,"2 Lê Thanh Nghị Quận Hải Châu, Đà Nẵng 550000 Việt Nam",+84 90 493 28 45,2 ₫ - 15 ₫,"Kiểu Việt, Thịt nướng","Phù hợp với người ăn chay, Tùy chọn ăn chay","4,5 ",58 đánh giá
Chuyện Nàng Dâu Restaurant, Đã được xác nhận,"45 An Thượng 4 Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 90 524 15 95,3 ₫ - 150.000 ₫,"Kiểu Việt, Súp, Quán bar phục vụ đồ ăn, Hải sản, Cửa hàng thức ăn ngon","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",22 đánh giá
